track_id,artists,track_name
5FkoSXiJPKTNyYgALRJFhD,Baby Keem,ORANGE SODA
6I9VzXrHxO9rA9A5euc8Ak,Britney Spears,Toxic
0mjAU3yKR1QnXnHtjGJqTM,OneRepublic,Rescue Me
76hfruVvmfQbw0eYn1nmeC,DNCE,Cake By The Ocean
2qG5sZ7Si6sdK74qLxedYM,ROSAL?çA,Con Altura
37AGgp9VP8TVJBfEat74Bj,Machine Gun Kelly,Candy (feat. Trippie Redd)
254bXAqt3zP6P50BdQvEsq,Fleetwood Mac,Everywhere - 2017 Remaster
0azC730Exh71aQlOt9Zj3y,Calvin Harris,This Is What You Came For (feat. Rihanna)
39shmbIHICJ2Wxnk1fPSdz,The Clash,Should I Stay or Should I Go - Remastered
6ADSaE87h8Y3lccZlBJdXH,U2,With Or Without You - Remastered
3HWzoMvoF3TQfYg4UPszDq,Lizzo,Truth Hurts
5mCPDVBb16L4XQwDdbRUpz,Drake,Passionfruit
1i1fxkWeaMmKEB4T7zqbzK,The Chainsmokers,Don't Let Me Down (feat. Daya)
0F7FA14euOIX8KcbEturGH,Lil Nas X,Old Town Road
003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside
0I3q5fE6wg7LIfHGngUTnV,OutKast,Ms. Jackson
7CZyCXKG6d5ALeq41sLzbw,Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott)
5A3fPy30SN2wuzrahpcxvV,Andy Grammer,"Don't Give Up On Me - (From ""Five Feet Apart"")"
2QwMXe5zbqymDZGYsMDVqZ,Carin Leon,Me La Avente
6LcauUZjF1eXQrgqMUecHX,Tyga,Ayy Macarena
7gvd8xj4QgPqbQSsn5pV7d,Demi Lovato,Sorry Not Sorry
1D4PL9B8gOg78jiHg3FvBb,Taylor Swift,Love Story
1Je1IMUlBXcx1Fz0WE7oPT,Spice Girls,Wannabe
4pAl7FkDMNBsjykPXo91B3,Rihanna,Needed Me
2y4lAQpi5VTNLu2ldeTdUH,Miley Cyrus,We Can't Stop
0Q0IVlqMV64kNLlwjPj0Hl,Fugees,Killing Me Softly With His Song
0COqiPhxzoWICwFCS4eZcp,Evanescence,Bring Me To Life
2aibwv5hGXSgw7Yru8IYTO,Red Hot Chili Peppers,Snow (Hey Oh)
3cfOd4CMv2snFaKAnMdnvK,Smash Mouth,All Star
47BBI51FKFwOMlIiX6m8ya,Backstreet Boys,I Want It That Way
4R8BJggjosTswLxtkw8V7P,Jhay Cortez,No Me Conoce - Remix
